pr;DB;Interpreter;Logging;Thread;Data Structure;DevOps;i18n;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;App;GIS;Util;NLP;APM;Network;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
29;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;smarter constructor injection by choosing  biggest  constructor instead of the default one;see   added additional condition to sorting of constructors by checking amount of mockable constructor arguments;;0;"smarter constructor injection by choosing ""biggest"" constructor instead of the default one";see  additional condition to sorting of constructors by checking amount of mockable constructor arguments;  ;;;;1;1;issue 421: added additional condition to sorting of constructors by checking mockable arguments;
30;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;deep stub style mocks can be serialized;see https://code.google.com/p/mockito/issues/detail?id=399;;0;deep stub style mocks can be serialized;see https://codegooglecom/p/mockito/issues/detail?id399;"   thread safety added - i was thinking about some atomicreferences but that wasnt an option since the types of those references wouldnt be serializable so i went just for simple method synchronization as for the generics part - thanks for the usecases it seems clearer now as for the purpose of the fix || reviewed by brice still need to work on generic support serialization || hey marcin ive worked on the serialization of deep stubs with generic support and i decided this was too much for now i believe this could be added later on so for the moment i choose that deep stubs answer will now fallback to the previous mechanism when serializing you can grep the commits with `issue 399` for more details thanks for helping me on this one anyway :) || sure no problem :) || ";;;;1;1;added synchronization on instantiation of transient fields to guard thread safety;
32;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;fixed the behavior of compareto method of the mock objects;see   fix compareto behaviour the same objects;;0; the behavior of compareto method of the mock objects;see  compareto behaviour the same objects;   thanks merged ) ||;;;;1;1;467] rename testsintroduce snake case instead of camel case for tests names in shouldmockscomparetobeconsistentwithequalstest class;
36;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;refactoring: inner implementations of filter and comparator should be static;;;0;refactoring: inner implementations of filter and comparator should be static;;  ;;;;1;1;make verifiableinvocationsfinderremoveignoredforverification private;
37;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;refactoring: avoid static keyword in inner interface definition;inner interfaces are implicitly static;;0;refactoring: avoid static keyword in inner interface definition;inner interfaces are implicitly static;  ;;;;1;1;remove redundant static keywordinner interfaces are implicitly static;
38;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;new  then  method for bdd-style interaction testing;new feature in bddmockito for bdd then part of the test which allows mock behavior verification by using  mockito#verify(object) . for example we have classes person and bike:      java bike bike = new bike()  person person = mock(person.class)       and the following interaction      java person.ride(bike)  person.ride(bike)       current (non bdd) behavior verification would go like:      java verify(person  times(2)).ride(bike)       this feature introduces the following way of verification:      java then(person).should(times(2)).ride(bike);;0;"new ""then"" method for bdd-style interaction testing";new feature in bddmockito for bdd then part of the test which allows mock behavior verification by using `mockito#verify(object)`for example we have classes person and bike:``` javabike bike  new bike()person person  mock(personclass)```and the following interaction``` javapersonride(bike)personride(bike)```current (non bdd) behavior verification would go like:``` javaverify(person times(2))ride(bike)```this feature introduces the following way of verification:``` javathen(person)should(times(2))ride(bike)```;"   when is the next release? :)on tue mar 18 2014 at 8:17 pm brice dutheil notifications@githubcomwrote:> merged #38  > ## > > reply to this email directly or view it on github  || some work is still needed regarding jdk8 but it may be easier than expected unless the community has missed somethingalso release scripts need to be enhanced and extended to the test-ng supportplus many stuff i may have forgotby the way could you give your feedback on this pr #9 im not yet sure how to integrate this feature tia || hey ive been playing around a bit with your feature i agree with you `then(person)verify(times(2))ride(bike)` doesnt read wellim no more inclined to add the verify alias but if you want to keep it what do you think of writing it this way with a no-op `then()` for exemple : ``` javathen()verify(person times(2))ride(bike)``` || > by the way could you give your feedback on this pr #9 im not yet sure how to integrate this feature tiaive just seen it is related to an accepted issue on the projects site on google code ill take a look into it when i get some time> im no more inclined to add the verify alias but if you want to keep it what do you think of writing it this way with a no-op then() for exemple : im also in favor of removing it || the thing is the jsr 305 is now part of the jdk8 that could be interesting to bring at some point support for that || sorry i didnt have any time to look at the pr ill try to take a look at it next week || > by the way could you give your feedback on this pr #9 im not yet sure how to integrate this feature tiaive looked at the pull request and im not sure i understand what the problem is is the main issue backwards compatibility and redesign of invocation or integration process itself?ps it seems this issue should be discussed somewhere maybe best on the mockito google group? || the comment on the pr is for that please share your opinion or question there too :)thx for taking the time to take a look at it by the way :) || when you get some free time please take a look at  im trying to gather some feedback from junit guys but none were given  hey can you share the link on the mailing list so people can discuss there :)also i will post the link on twitteranyway from just looking at the readme page i find the api quite elegant || i will thanks for feedback! :) || hey guysdid you consider this:then(person times(2))ride(bike)then(person)ride(bike) || i find the original case more readable so i must say im against it is there any concrete case where it doesnt read well? || i agree with lovro i find the original idea more readable || for example: then(task)should()completed()then(mock)method() is more consistent with the original apii really like your idea though i think it reads very nicely || yes that could work with aliases like``` javashouldbe()validated()has()performed()has(times(2))performed()``` || > i really like your idea though i think it reads very nicelythanksthere is one more problematic case: timeout()maybe more aliases should be introduced? || hey guysi thought about this and im tempted to remove this new method from the api i really like how it looks but on the other hand i dont want mockito api to grow in tactical aliases that solve mini use cases there is a room for this kind of aliases but id rather mockito api to be simple and opinionated perhaps there should be a separate library called mockito-bdd? also its pretty easy to add such aliases to any codebase simpler api like ""then(task)completed()"" would be ok for me because its truly an alias - it has exactly the same signature but the method name is different hence it does not complicate the api however it seems that you prefer more fluency - this could be different library that depends on mockito-core and has bunch of bdd aliaseslovro i really like your coding and id love to get more contributions from you! || btw thoughts? i can always be convinced :) || > lovro i really like your coding and id love to get more contributions from you!thanks!i must say that i still stand by my original pull request and its design> for example: then(task)should()completed()i think that only listener methods can be problematic (oncompletion) with current implementation normal methods usually dont go in past tense || but abandoning the should part and leaving only then wouldnt be bad for me either i just hope this gets released some time soon :) || i will release really soon i wanted to close down this api change actually before the release :)i totally respect your pov regarding should() methodoptions we have (ive conveniently removed options that dont work for me ):1 back out the feature from master possibly include more bdd aliases somewhere else2 change the feature to then(task)dostuff() if we do that we will reserve the then word/method and the original option wont be possible any more (even in a separate library)id say we do 1) but i will concede to your votes lovro/brice?thanks again for your input! || heyi thought about this and lets release it in the original shape eg as it is now in the codebase :)do you mind improving the impl a little bit?1 can you add info about this new feature from the mockito main class?2 it would be better if then was an interface and the implementing class not-public (protected or package-protected is fine)ill probably hide this feature from the codebase for the next release however once you get above items done submit pr well merge it and it should get _automatically_ released it will be nice test for the continuous deployment implementation :) || ah nevermind lets just have it in the coming release do you mind doing the 1-2 items in a different pr? :)thanks! || hey sorry for responding this late> do you mind doing the 1-2 items in a different pr? sure what needs to be done? :) || id love a pr with:1 new feature highlighted on the main mockito class (add an item to the   bottom of the list for example: ""(new) fluent bdd alias for verification"")2 deprecate then class introduce then interface (you can create a new   package orgmockitobdd) that the then class can implement for now3 extra credit: also deprecate other concrete classes that leak from the   top level bddmockito4 javadoc for deprecate class includes a deprecation reason5 ensure new api that you have introduced contains @since informationabove is pretty tactical but i hope it gives you a picture about do weapproach api design and evolution this can be very useful for you becauseyoure planning more prs right? :dthanks again for your contribution!on wednesday october 1 2014 lovro pandžić notifications@githubcomwrote:> hey sorry for responding this late> > do you mind doing the 1-2 items in a different pr?> > sure what needs to be done? :)> > —> reply to this email directly or view it on github>  szczepan fabercore dev@gradle founder@mockito || ok i have a few comments:2 deprecation is not really needed if i introduce an interface for then in bddmockito (and move/rename implementation) no client would be affected because the current then class is a final class with all fields non visible hence all imports/usages would be valid after this change but the more important question to me: what is the goal of this interface? is it expected of clients to provide more implementations because that seems highly unlikely to me and just increases complexity unnecessary?general direction is to deprecate the bddmockito class? || heythanks for following up!the general direction is not let concrete public classes leak to the apieg use interfaces for the api where possible bddmockito is cool letsnot deprecate it )possibly the deprecation is not needed i guess users do not instantiatethis class by hand in their tests :) i was playing safe here - for regularuse the deprecation is not needed however sometimes users find verycreative ways of using the api (which is good!) and the deprecation wouldensure backwards compatibilityif you want me to make the call i say deprecate it (its a good trainingfor evolving the api in backwards compatible way too) if you believe thedeprecation is not needed and you are happy to make that call just changeit without deprecationcheers!on fri oct 3 2014 at 11:59 pm lovro pandžić notifications@githubcomwrote:> ok i have a few comments:> 2 deprecation is not really needed if i introduce an interface for then> in bddmockito (and move/rename implementation) no client would be affected> because the current then class is a final class with all fields non visible> hence all imports/usages would be valid after this change but the more> important question to me: what is the goal of this interface? is it> expected of clients to provide more implementations because that seems> highly unlikely to me and just increases complexity unnecessary?> > general direction is to deprecate the bddmockito class?> > —> reply to this email directly or view it on github>  szczepan fabercore dev@gradle founder@mockito || i thought it had a private constructor but i see it has a public one my mistake so the deprecation is in order ill make a pr as soon as i get some free time on my hands :) || cool no rush ) || ";;;;1;1;- added documentation to mockito;
39;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;allow calling real implementation of jdk8 extension methods;see also the google code ticket:   enable calling real implementation on extensions method from jdk8 additionally change add validation checking whether callrealmethod is invoked on abstract methods. in fact resolving issue could be achieved by removing this validation because when someone do next thing: 1: when(someinteface.abstractmethod()).thancallrealmethod()  2: someinteface.abstractmethod() exception will be throwned on second line informing that there were attempt to invoke abstract method;;0;allow calling real implementation of jdk8 extension methods;see also the google code ticket:  calling real implementation on extensions method from jdk8additionally change add validation checking whether callrealmethod is invoked on abstract methodsin fact resolving issue could be achieved by removing this validation because when someone do next thing  when(someintefaceabstractmethod())thancallrealmethod()2: someintefaceabstractmethod()exception will be throwned on second line informing that there were attempt to invoke abstract method;"   i think we need different project in mockito with different java version where we can test mockito features against different jdki dont know if its possible in travis to have different jdks at the same time || form what ive checked it looks good let me some more time to see if theres some weird thing as well )thanks for this work it muck simpler than to rewrite an `isdefault` checkfor readers reference :  || by the way for the reader hers an interesting paper on defender methods :  || another interesting pdf one could read too its from the jvm langage summit 2013 :  ||  is possilbe to test project on multiple jdks (  but in order to test special features of jdk8 i advice to create seperate branch which will hold tests for that features ie: branch jdk8 will hold tests checking whether jdk8 features work correctly and it will be tested only on jdk8 (extension methods will not compile on jdk7) on the other hand master branch will be tested against jdk7 and jdk8 and difference in code will be only on tests level thanks to it we will not have 2 main lines of development but we will tests compatibility on 2 different jdks what do you think about it? it is just suggestion maybe you have better idea? || yeah i know about that feature which is nice really but it doesnt fit the goal i would like which would be to compile mockito and make sure its still compatible with jdk5 for example and the binaries would be tested in different test environment for that i fear i would need separate projectsstill your approach is interesting but im a bit concerned about the _branch synchronization_ im thinking about something else i need to ask gradle expert though  would it be possible to toggle a subproject on jdk version? || i do not know how it looks like from travis perspective but on github seperate branch is sufficient do you agree? in seperate branch you can configure gradle properties travis build definition as well as other things what is more it will be easier to merge prs into two branches in the same project(project as github definition) || yeah we could still try that || fyi im working on the jdk8 branch || if you need any help just let me know || hi what is the status of this feature? the release note 1100 (2014-09-25 22:25 utc) says ""allow calling real implementation of jdk8 extension methods"" but actually it is not possible see for instance:  my own tests it is indeed not possible to call real implementation of default methods  || ";;;;1;1;456] enable calling real method at extensions from jdk8;
41;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;new  getargumentat  method for convenient implementation of custom answers;the problem is when i need to use answers  i quite often need to cast these arguments. i propose two methods in invocationonmock  so we can get two arguments of method typesafely  so this piece of code       java @suppresswarnings( unchecked )   doanswer(new answer() {       public object answer(invocationonmock invocation) {           object args = invocation.getarguments()            int count  = (int)args[1]           //do something       }})   .when(mock).somemethod()       will be better:      java   doanswer(new answer() {       public object answer(invocationonmock invocation) {            int count  = invocation.getargumentat(1  int.class)           //do something       }})   .when(mock).somemethod();;0;"new ""getargumentat"" method for convenient implementation of custom answers";"the problem is when i need to use answers i quite often need to cast these argumentsi propose two methods in invocationonmock so we can get two arguments of method typesafely so this piece of code``` java@suppresswarnings(""unchecked"")  doanswer(new answer() {      public object answer(invocationonmock invocation) {          object args  invocationgetarguments()          int count   (int)args[1]         //do something      }})  when(mock)somemethod()```will be better:``` java  doanswer(new answer() {      public object answer(invocationonmock invocation) {           int count   invocationgetargumentat(1 intclass)         //do something      }})  when(mock)somemethod()```";im basically ok but i dont want the `getfirstargument` in `invocationonmock` otherwise the contract will grow too much without real benefit  || i had removed getfirstargument from pull request || great thx :) ||;;;;1;1;add casted generic methods for getting arguments from invocationonmock;
44;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;refactoring: removed then-verify;removed verify alias in bddmockito.;;0;refactoring: removed then-verify;removed verify alias in bddmockito;perfect thx ||;;;;1;1;- removed then-verify;
47;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;issue484 fix;this fixes the issue when comparing 2 identical objects which throw an exception in their equals method.;;0;issue484 fix;this fixes the issue when comparing 2 identical objects which throw an exception in their equals method;  ;;;;1;1; issue 484by adding an additonal clause to the areequal methodto take care of the trivial case;
56;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;fixed wrong javadoc for additionalanswers;fixed wrong javadoc for additionalanswers;;0; wrong javadoc for additionalanswers; wrong javadoc for additionalanswers;;;;;1;1; javadoc for additionalanswers;
59;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;refactoring: added casts to supress varargs warnings;;;0;refactoring: added casts to supress varargs warnings;;  ;;;;1;1;added casts to supress varargs warnings;
63;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;improve nointeractionswanted report to include the name of the mock;this is useful feedback when using multiple mocks in verifynomoreinteractions().;;0;improve nointeractionswanted report to include the name of the mock;this is useful feedback when using multiple mocks in verifynomoreinteractions();hey thanks for the pr could you add a unit test ? theres probably already something that test the location you can place it there ||    thanks for the pr can you describe a use case where it is useful? i thought that we write the mock name when invocations are printed || sure it helps where you provide several mocks to verifynomoreinteractions:``` javapublic class mockitotest {    @mock    private runnable a b    @before    public void setup() {        initmocks(this)    }    @test    public void test() {        brun()        verifynomoreinteractions(a b)    }}```without the patch:```failed tests:   mockitotesttest:23 no interactions wanted here:-> at compushtechnologydiffusionqueuesconflationmockitotesttest(mockitotestjava:23)but found this interaction:-> at compushtechnologydiffusionqueuesconflationmockitotesttest(mockitotestjava:22)actually above is the only interaction with this mock```with the patch:```failed tests:   mockitotesttest:23 no interactions wanted here:-> at compushtechnologydiffusionqueuesconflationmockitotesttest(mockitotestjava:23)but found this interaction:-> at compushtechnologydiffusionqueuesconflationmockitotesttest(mockitotestjava:22)for mockbactually above is the only interaction with this mock``` || reading the message i think it would read better this way : ```failed tests:   mockitotesttest:23 no interactions wanted here:-> at compushtechnologydiffusionqueuesconflationmockitotesttest(mockitotestjava:23)but found this interaction on mock b:-> at compushtechnologydiffusionqueuesconflationmockitotesttest(mockitotestjava:22)actually above is the only interaction with this mock```also could you squash those commits in a single one so both production and test are in single commit ) || i agree - the message is better your way ||;;;;1;1;improve nointeractionswanted report to include the name of the mock;
65;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;refactoring: cleanup ignores and fix 1.5 compatibility;this branch contains a few cleanups i had to do after importing mockito: - there are a few more ignores required for eclipse.  - as mockito is configured for 1.5 source compatibility it should adhere to it. therefore i removed the @override annotation where it would cause compile errors on 1.5;;0;refactoring: cleanup ignores and fix 15 compatibility;this branch contains a few cleanups i had to do after importing mockito:- there are a few more ignores required for eclipse - as mockito is configured for 15 source compatibility it should adhere to it therefore i removed the @override annotation where it would cause compile errors on 15;im ok for this pr however generally speaking for mockito i wonder if we should forget java 5 / 6 (maybe even 7) compatibility and just move over for the next mockito version ||;;;;1;1;remove @override annotation for implementing interface methodsmockito is configured with 15 source/target compatibility (according tobuildgradle) in java 5 its illegal to specify the @overrideannotation on method implementations based on interface this changeremoves those in order to have the mockito compile on 15 withoutcompilation errorssigned-off-by: gunnar wagenknecht <gunnar@wagenknechtorg>;
68;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;added custom failure message to mockito.verify. issue 482;issue 482: passing custom failure message to mockito.verify;;0;added custom failure message to mockitoverify issue 482;issue 482: passing custom failure message to mockitoverify;"   @bric3 any chance that this will make it into the next build? || also it may be worth to reflect this addition to `bddmockito`before merging could you squash commits ? || ok thanks for the updates :)api may be tweaked in final 200 also  note that a `descriptable` interface may be extracted from this work itll help when we refactor hamcrest away from mockito || oh and thanks for the pr as well || thanks on jun 12 2015 1:42 pm ""brice dutheil"" notifications@githubcom wrote:> oh and thanks for the pr as well> > —> reply to this email directly or view it on github>  || ";;;;1;1;482: added custom failure message to mockitoverify;
